resource_or_problem,current_vanilla_pressure,common_optimal_farm,why_players_feel_forced,matcha_behavior,active_route,civic_route,technical_route,trade_route,discovery_route,passive_output_cap_needed,nerf_needed,existing_mod_support,custom_work_required,open_questions
"iron","Iron feeds tools, hoppers, rails, anvils, armour, and many automation builds. Early mining is finite and slow compared with late demand.","Iron golem farm, often combined with a trading hall.","The same material is needed for both basic infrastructure and high-volume automation, while a correct farm runs unattended and outperforms ordinary mining.","Observed recipes and trades use iron for tools, rails, anvil, hopper, and an iron-ingot-from-iron-materials conversion. Vanilla-namespace item definitions also exist. No iron-farm rule is established by the static audit. Evidence: generated/matcha/1.12/recipes.json, registry-data.json, assets.json. Runtime throughput is UNKNOWN. Check a disposable-server rate trace and farm interaction test.","Mining, salvage, and deliberate quarry work remain useful for the first stock and for players who enjoy active extraction.","A registered mine, smithy, or settlement recycling service can fulfil declared iron demand with workers and storage.","An engineered farm or smelter may reach high throughput, but it needs real inputs, infrastructure, mob management, and bounded output handling.","Smiths, merchants, or freight routes can import iron against a real order rather than an abstract infinite balance.","Ore exposure, ruins, and regional geology can teach safe extraction and processing without granting a permanent multiplier.","Yes. Saturate at bounded storage or declared demand. Unattended output should lose value sharply once receiving capacity is full.","No blanket nerf before repair, rail, and project supply alternatives are measured. Revisit only if the farm still dominates after those routes exist.","Vanilla farms are available. Technical production mods are provisional and none is selected for 26.2 yet.","Define shared demand, warehouse, and output-cap rules without replacing every farm with custom Java.","What iron-per-hour target makes mining, civic supply, and engineering comparably sensible for different project scales?"
"XP","Experience levels pay for enchanting, anvil work, and often modded progression. Vanilla farms turn the general-purpose currency into a bankable commodity.","Mob grinder, gold farm, furnace XP bank, or villager trading loop.","Many unrelated systems consume the same resource, so an XP farm becomes a prerequisite even for players who dislike combat or redstone engineering.","Observed scoreboard objective anvil_interaction and functions that set a player to 100 levels, then remove levels and points outside an exclusion tag. This is classified as an override. Evidence: generated/matcha/1.12/functions.json, scoreboards.json, docs/matcha-audit/system-classification.csv. Exact timing and selector scope are UNKNOWN without a runtime trace. Check two-player, restart, and vanilla-control traces.","Meaningful exploration, first-time discoveries, completed projects, and demonstrated technique provide progression evidence without raw action volume.","Training, workshops, and civic projects can reward knowledge or service access instead of forcing every player to bank XP.","XP farms remain a first-class engineering option when their inputs, storage, and demand are explicit, but AFK accumulation must saturate.","Repair, training, and commissions can use visible service costs. A fee should not silently become a second XP farm.","Learning a new recipe, route, or technique can award a bounded first-understanding milestone.","Yes. Cap passive XP storage or conversion and make long unattended sessions sharply less valuable.","Do not remove vanilla XP before alternative repair and progression routes work. The Matcha XP override itself needs narrow replacement or disablement because it can erase XP.","Vanilla farms and furnace banking exist. No selected cross-mod XP support is verified for 26.2.","Separate Forever mastery evidence from player XP, then adapt Matcha through stable concepts rather than importing its scoreboard semantics.","Should XP remain a vanilla resource alongside evidence-based mastery, and which services may consume it after repair is available?"
"Mending","Mending collapses replacement and repair costs into a single enchantment when paired with a renewable XP source.","Librarian trading hall, loot search, or villager rerolling.","A player who wants durable tools is pushed towards villager infrastructure and XP production before they can enjoy the work they actually value.","Observed blessings:mending recipe and hell_bound_book recipe-unlock path. The enchanting-table tag has replace=true and the archive contains 23 blessing recipes. Evidence: generated/matcha/1.12/recipes.json, advancements.json, tags.json; runtime availability and final cost are UNKNOWN. Check recipe unlock, enchanting-table, anvil, and trade traces.","Field repair kits and expedition salvage keep a trip viable without requiring the enchantment.","Workshops and smiths provide full repair through materials, time, or a service contract.","A bounded repair station can automate handling only with real repair inputs and atomic transactions.","Librarians, smiths, and merchants may sell a repair service or a known book, not an unlimited free durability loop.","First learning of a repair technique can explain the process and unlock a route without making Mending the only answer.","No direct passive output. Cap repair throughput by materials, service slots, and demand rather than by item deletion.","No blanket removal before the field, workshop, and economic routes are usable. Classify or disable the Matcha blessing path only after a compatibility decision.","Vanilla anvil and Matcha blessing recipes are present. Repair-service mods are provisional.","Resolve precedence between vanilla Mending, Matcha blessings, and Forever equipment repair while preserving named item identity.","Should Mending remain a scarce convenience, a translated repair technique, or an optional route that never bypasses repair costs?"
"Totems","A Totem of Undying converts a rare danger buffer into a renewable safety stock when raids are farmed.","Raid farm or repeated evoker kills.","High-risk exploration feels incomplete without a stockpile because one farm can turn an exceptional rescue into routine equipment.","UNKNOWN: the audit contains three totem references across generated reports but no dedicated reviewed totem classification. Check generated/matcha/1.12/loot-tables.json, registry-data.json, functions.json, and a disposable runtime trace for acquisition, use, and repeatability.","Dangerous structures, bosses, and expeditions can provide limited first access and meaningful risk.","Sanctuaries, rescue services, safer routes, and prepared shelters reduce the need for a consumable death override without removing danger.","Raid farms remain a legitimate engineering route, but encounter rates and output need bounded demand and no infinite stacking benefit.","A steward can sell rescue preparation, route insurance, or a limited totem supply with visible scarcity.","A first structure or encounter can teach the protection's existence without turning every expedition into a checklist.","Yes. Bound passive stock by storage or expected demand. Do not award permanent defensive percentages from repeated structures.","No direct nerf until alternative safety and recovery routes are tested. If supply remains dominant, adjust encounter economics rather than deleting the established playstyle.","Vanilla raid farms are available. No additional 26.2 support is verified.","Add adventure-instance claims, safe recovery, and explicit protection rules only after Matcha totem evidence is traced.","Is the Matcha reference a normal item, a disguised identity, or a structure reward, and how should it coexist with heirloom recovery?"
"gunpowder","Gunpowder is consumed by rockets, TNT, fire charges, and several technical recipes. Its value is tied to mobility and large-scale excavation.","Creeper farm, witch farm, or general hostile mob farm.","Rocket travel and explosive projects create continuous demand, while a creeper farm supplies it unattended at a scale active hunting cannot match.","Observed gunpowder references in ore and chest loot, plus sulfur conversion recipes and recipes for fire charge, TNT, benzene, phosphor, and dyes. No farm suppression is established; farm behaviour is UNKNOWN. Check loot and farm traces. Evidence: generated/matcha/1.12/recipes.json, loot-tables.json, functions.json.","Creeper hunting, structure exploration, and mining provide active early supply.","A chemical works or explosives guild can handle declared project demand with safe storage and licensing.","Creeper farms remain first-class engineering, but rates, storage, and rocket demand must be bounded.","Gunpowder or processed sulfur can be traded and shipped from a known source.","Finding sulfur, hostile habitats, or an explosives technique can open options without requiring a farm.","Yes. Bound unattended gunpowder by receiving capacity and rocket or project demand.","Potential narrow travel rebalance only after rail, ports, and bedroll routes work. Do not ban creeper farms as a first response.","Vanilla hostile farms and Matcha sulfur-related recipes are present. Technical production candidates are provisional.","Make rocket consumption, explosive safety, and passive caps data-driven while preserving normal combat and mining.","What rocket and TNT demand should count as healthy engineering throughput rather than mandatory flight upkeep?"
"rockets","Firework rockets make Elytra the fastest answer to most long-distance travel and consume gunpowder and sugarcane at scale.","Creeper farm plus sugarcane farm, often with a shulker transport loop.","Without an equally reliable repeated-route service, players rush the End, Elytra, and two farms before building the world they want.","UNKNOWN: generated reports record Elytra advancements, recipes, and resource assets, but no static rule establishes the final rocket-flight relationship. Check generated/matcha/1.12/functions.json, recipes.json, assets.json, and a disposable runtime flight trace.","Walking, horses, boats, gliding, and first-trip exploration remain valid. Rockets support difficult crossings rather than every commute.","Roads, passenger rail, ports, and established services make fixed routes better than personal flight.","Rocket production remains a high-throughput technical route with real sugarcane, gunpowder, storage, and handling costs.","Rocket supply can be bought, while fares for a route service offer a non-flight economic alternative.","The first Elytra or glider discovery can unlock scouting without making rockets the mandatory artifact rush.","Yes for sugarcane and gunpowder inputs. Inventory caps alone are not enough; demand saturation and diminishing unattended value are also needed.","A narrow travel-balance intervention is already the subject of ADR 0013. Do not apply it until rail and other fixed-route alternatives are usable and measured.","Vanilla rockets are available. Rail, boat, and flight-adjacent mods are provisional for 26.2.","Integrate travel services, rocket policy, and route validation without making the client decide movement outcomes.","What fixed-route service time and capacity reliably beat flight without making exploration feel slow?"
"stone","Stone, cobblestone, deepslate, and variants are consumed by ordinary building, roads, furnaces, and civic projects at enormous volume.","Cobblestone or stone generator, quarry, TNT quarry, or mining beacon.","The material is common but project quantities are huge. A generator saves enough labour that builders feel required to construct one before starting a major design.","Observed blasting recipes convert stone, smooth stone, stone bricks, and mossy variants, and mason trade records include stone families. No passive stone-generator rule is established; runtime farm interaction is UNKNOWN. Check generator, processing, and storage traces. Evidence: generated/matcha/1.12/recipes.json, registry-data.json, loot-tables.json.","Mining, quarrying, and terrain reuse remain satisfying active routes.","A registered quarry, stoneworks, or settlement order converts physical extraction into a predictable civic supply.","Generators and processing lines may reach high throughput with real fuel, space, wear, design, and output handling.","Masons and carriers can sell or import common stone against project demand.","A discovered strata, quarry, or ruin can teach material families and useful processing.","Yes. Saturate at warehouse capacity or project demand, with no value for unhandled overflow.","No stone-generator nerf before civic supply, building assistance, and trade routes are usable. Reassess dominance with project-scale tests.","Vanilla generators and Matcha processing recipes are available. Create-style production is provisional.","Define project demand and storage caps without making the server simulate every block in a quarry.","What project sizes and delivery times should set the parity target for mining, civic quarrying, and engineering?"
"wood","Wood is a universal input for tools, fuel, chests, rails, buildings, and early infrastructure. Replanting does not remove the repetitive harvest pressure.","Large tree farm, TNT tree farm, or manually optimised plantation.","Every path consumes wood, and a high-throughput farm removes the labour cost while still allowing unlimited stockpiles.","Observed wood references and extensive log trade records exist, but no wood-growth or farm-control mechanic is established in the static audit. Evidence: generated/matcha/1.12/recipes.json, registry-data.json, cross-references.json. Growth behaviour is UNKNOWN.","Manual forestry, varied species harvesting, and landscape stewardship remain valid.","A managed woodland, forester, or settlement timber yard supplies declared needs and replaces wasteful repeated trips.","Tree farms remain first-class when they require space, saplings, time, and output handling. AFK overflow has no value.","Timber can be commissioned or shipped from a known forest with species and quality visible.","The first forest or species discovery can add regional identity and knowledge.","Yes. Cap passive output at storage or demand and make unhandled logs worthless rather than endlessly accumulating.","No blanket tree-farm nerf before managed woodland, trade, and freight alternatives exist.","Vanilla farms and Matcha log trade records are available. Forestry mods are provisional.","Add species-aware supply tags and bounded output without forcing a custom tree simulation.","How should rare species retain regional value after a player establishes a sustainable local source?"
"sand","Sand feeds glass, concrete, sandstone, bottles, and explosives. Vanilla supply is geographically concentrated and duplication has historically been attractive.","Desert quarry, gravel conversion, or a sand duplication machine.","Large glass and concrete projects consume thousands of blocks, while normal digging damages a region and engineered duplication feels mandatory for scale.","Observed recipes include sand from blasting gravel, quartz from blasting sand, red sand from sand and iron, and multiple sand-related loot references. No duplication rule is established; duplication behaviour is UNKNOWN. Check duplication and output-saturation traces. Evidence: generated/matcha/1.12/recipes.json, loot-tables.json, advancements.json.","Desert, river, and badlands extraction remain valid first supplies and exploration targets.","A registered glassworks or quarry can fulfil project orders while making landscape impact and stock visible.","Conversion and duplication may be engineered, but throughput requires inputs, infrastructure, storage, and explicit output handling.","Sand and glass can be imported from a known region or purchased from a mason or carrier.","A first desert or badlands discovery can teach source, colour, and processing options.","Yes. Cap passive or duplicated output at bounded storage and live demand. Long AFK sessions should saturate quickly.","Do not remove duplication or mass mining before a satisfying glass and concrete supply exists. If needed, target unbounded output handling rather than all technical play.","Vanilla smelting and Matcha conversion recipes are available. Processing mods are provisional for 26.2.","Define region impact, supply caps, and project demand without requiring world-wide sand scans.","Can a quarry, glassworks, or trade route meet mega-build demand without making a desert disposable?"
"gravel","Gravel is needed for concrete, flint, paths, and sand conversion. It is awkward to gather at project scale and often becomes a by-product problem.","Gravel mining, piglin bartering, or duplication.","It is easy to need a large quantity and unpleasant to collect manually, while the same infrastructure can produce sand or flint.","Observed gravel block loot and a blasting recipe converting cobbled materials to gravel. Evidence: generated/matcha/1.12/loot-tables.json, recipes.json, advancements.json. No farm-specific behaviour is established; runtime farm behaviour is UNKNOWN. Check mining, bartering, and conversion traces.","Riverbed, mountain, and underground extraction provide active supply.","A quarry or aggregate works can combine gravel, flint, sand, and concrete orders.","A crusher or generator can scale only with real inputs, fuel, space, and output handling.","Aggregate can be purchased or moved with a physical freight order.","Finding a gravelly biome or learning the conversion route adds useful regional knowledge.","Yes. Cap aggregate overflow at storage or demand; stop crediting production once buffers are full.","No direct nerf before aggregate works and sand/glass routes are available. Preserve bartering and active mining.","Vanilla mining, bartering, and Matcha blasting recipe are available. Crusher mods are provisional.","Unify aggregate demand and prevent conversion chains from becoming hidden infinite loops.","Should gravel-to-sand conversion be a low-efficiency safety valve, a specialist process, or both?"
