"path","kind","side","reason","observation_type"
"CREDITS.txt","file","unknown","path is outside the recognised pack metadata, data, and assets trees","observed"
"assets/minecraft/texts","directory","resource","containing directory of an unclassified file","observed"
"assets/minecraft/texts/splashes.txt","file","resource","path is under a pack tree but does not match a recognised category or file extension","observed"
"data/custom_music/jukebox_song","directory","data","containing directory of an unclassified file","observed"
"data/custom_music/jukebox_song/HELP.txt","file","data","path is under a pack tree but does not match a recognised category or file extension","observed"
"data/endless_repairs/README.txt","file","data","path is under a pack tree but does not match a recognised category or file extension","observed"
"data/main/advancement","directory","data","containing directory of an unclassified file","observed"
"data/main/advancement/mechanics","directory","data","containing directory of an unclassified file","observed"
"data/main/advancement/mechanics/HELP.txt","file","data","path is under a pack tree but does not match a recognised category or file extension","observed"
"data/minecraft/timeline","directory","data","containing directory of an unclassified file","observed"
"data/minecraft/timeline/day.json","file","data","path is under a pack tree but does not match a recognised category or file extension","observed"
"data/minecraft/timeline/moon.json","file","data","path is under a pack tree but does not match a recognised category or file extension","observed"
"data/minecraft/trade_set","directory","data","containing directory of an unclassified file","observed"
"data/minecraft/trade_set/armorer","directory","data","containing directory of an unclassified file","observed"
"data/minecraft/trade_set/armorer/level_1.json","file","data","path is under a pack tree but does not match a recognised category or file extension","observed"
"data/minecraft/trade_set/armorer/level_2.json","file","data","path is under a pack tree but does not match a recognised category or file extension","observed"
"data/minecraft/trade_set/armorer/level_3.json","file","data","path is under a pack tree but does not match a recognised category or file extension","observed"
"data/minecraft/trade_set/armorer/level_4.json","file","data","path is under a pack tree but does not match a recognised category or file extension","observed"
"data/minecraft/trade_set/armorer/level_5.json","file","data","path is under a pack tree but does not match a recognised category or file extension","observed"
"data/minecraft/trade_set/butcher","directory","data","containing directory of an unclassified file","observed"
"data/minecraft/trade_set/butcher/level_1.json","file","data","path is under a pack tree but does not match a recognised category or file extension","observed"
"data/minecraft/trade_set/butcher/level_2.json","file","data","path is under a pack tree but does not match a recognised category or file extension","observed"
"data/minecraft/trade_set/butcher/level_3.json","file","data","path is under a pack tree but does not match a recognised category or file extension","observed"
"data/minecraft/trade_set/butcher/level_4.json","file","data","path is under a pack tree but does not match a recognised category or file extension","observed"
"data/minecraft/trade_set/butcher/level_5.json","file","data","path is under a pack tree but does not match a recognised category or file extension","observed"
"data/minecraft/trade_set/cartographer","directory","data","containing directory of an unclassified file","observed"
"data/minecraft/trade_set/cartographer/level_1.json","file","data","path is under a pack tree but does not match a recognised category or file extension","observed"
"data/minecraft/trade_set/cartographer/level_2.json","file","data","path is under a pack tree but does not match a recognised category or file extension","observed"
"data/minecraft/trade_set/cartographer/level_3.json","file","data","path is under a pack tree but does not match a recognised category or file extension","observed"
"data/minecraft/trade_set/cartographer/level_4.json","file","data","path is under a pack tree but does not match a recognised category or file extension","observed"
"data/minecraft/trade_set/cartographer/level_5.json","file","data","path is under a pack tree but does not match a recognised category or file extension","observed"
"data/minecraft/trade_set/cleric","directory","data","containing directory of an unclassified file","observed"
"data/minecraft/trade_set/cleric/level_1.json","file","data","path is under a pack tree but does not match a recognised category or file extension","observed"
"data/minecraft/trade_set/cleric/level_2.json","file","data","path is under a pack tree but does not match a recognised category or file extension","observed"
"data/minecraft/trade_set/cleric/level_3.json","file","data","path is under a pack tree but does not match a recognised category or file extension","observed"
"data/minecraft/trade_set/cleric/level_4.json","file","data","path is under a pack tree but does not match a recognised category or file extension","observed"
"data/minecraft/trade_set/cleric/level_5.json","file","data","path is under a pack tree but does not match a recognised category or file extension","observed"
"data/minecraft/trade_set/farmer","directory","data","containing directory of an unclassified file","observed"
"data/minecraft/trade_set/farmer/level_1.json","file","data","path is under a pack tree but does not match a recognised category or file extension","observed"
"data/minecraft/trade_set/farmer/level_2.json","file","data","path is under a pack tree but does not match a recognised category or file extension","observed"
"data/minecraft/trade_set/farmer/level_3.json","file","data","path is under a pack tree but does not match a recognised category or file extension","observed"
"data/minecraft/trade_set/farmer/level_4.json","file","data","path is under a pack tree but does not match a recognised category or file extension","observed"
"data/minecraft/trade_set/farmer/level_5.json","file","data","path is under a pack tree but does not match a recognised category or file extension","observed"
"data/minecraft/trade_set/fisherman","directory","data","containing directory of an unclassified file","observed"
"data/minecraft/trade_set/fisherman/level_1.json","file","data","path is under a pack tree but does not match a recognised category or file extension","observed"
"data/minecraft/trade_set/fisherman/level_2.json","file","data","path is under a pack tree but does not match a recognised category or file extension","observed"
"data/minecraft/trade_set/fisherman/level_3.json","file","data","path is under a pack tree but does not match a recognised category or file extension","observed"
"data/minecraft/trade_set/fisherman/level_4.json","file","data","path is under a pack tree but does not match a recognised category or file extension","observed"
"data/minecraft/trade_set/fisherman/level_5.json","file","data","path is under a pack tree but does not match a recognised category or file extension","observed"
