capability_id,capability_name,essentiality,player_benefit,adventure_route,civic_route,mastery_route,technical_route,economic_route,dependencies,existing_mod_candidate,custom_integration_required,balance_risk,status,notes
"transparent_early_progression","Transparent early progression","Essential","Players can understand what is possible and how to begin without an external wiki or a quest toll gate.","Discovery may reveal optional possibilities and first milestones, but never withholds instructions for an expected process.","A settlement noticeboard, mentor, or Field Journal turns local knowledge into visible next steps.","A breadth or technique milestone explains why a new capability matters instead of awarding an opaque level.","Recipe viewing, machine descriptions, and bounded input/output summaries expose the process and its limits.","A cartographer, trader, or steward can teach a documented process through a service or commission.","Field Guide; recipe-viewer integration where recipes exist; Matcha adapter for audited tutorial behaviour.","Matcha tutorial and advancement tree; recipe viewer candidate TBD (provisional).","Yes: unify explanations, discovery state, and third-party inputs behind stable concepts.","High","Planned, not implemented","Route columns map to Adventure, Builder/Civic, Artisan/Producer mastery, Engineer/Technical, and Merchant/Steward. All routes are additive to vanilla play."
"item_repair","Item repair","Essential","A named tool or piece of equipment can be restored instead of becoming a disposable loss or an XP-farm obligation.","Field kits and salvage make an expedition survivable without providing free full repair everywhere.","A registered workshop or smith restores full condition using visible materials, time, or service requirements.","Smithing evidence can improve service quality, but ordinary repair remains available without a specialist loadout.","A bounded repair station may automate handling only when it consumes real inputs and validates the item transaction.","A paid repair, commission, or imported part provides a solo route and a multiplayer service niche.","Versioned equipment component; repair materials; workshop or service registration; atomic server transaction.","Vanilla anvil; Matcha endless_repairs is audit-dependent and not sufficient (provisional).","Yes: own condition, repair precedence, migration, and safe failure.","High","Planned, not implemented","At least field and workshop repair must remain distinct. Matcha's repair-cost reset cannot be treated as proof of retained broken items."
"nonbreaking_equipment","Nonbreaking equipment","Essential","Zero condition makes an item broken and unusable while preserving identity, history, and recoverable data.","A broken item remains recoverable after an expedition, death, or a difficult crossing.","A home archive, repair bench, or heirloom register preserves the item's identity and history.","An item's learned path and craftsmanship record remain meaningful after breakage and repair.","A server-authoritative damage boundary performs an idempotent broken transition rather than deleting the stack.","A recovery or maintenance contract can protect a named item without creating a free replacement loop.","Equipment schema version; item components; death, container, trade, restart, and migration handling.","No existing candidate verified; Forever equipment boundary is the design owner.","Yes: intercept condition transitions and preserve unknown components safely.","High","Planned, not implemented","This is a preservation rule, not a power bonus. No route may duplicate the item or its contents."
"early_portable_storage","Early portable storage","Convenience","A small personal cache carries tools, food, maps, and emergency supplies before end-game storage is reached.","A cache can be found or its construction method learned during a meaningful expedition.","A settlement outfitter, stable, or workshop can commission and expand a cache.","Explorer or Steward evidence can unlock a bounded expansion from nine to eighteen slots.","Component validation enforces no nesting and prevents recursive inventory capacity.","A merchant can sell a cache or its fittings without making another player mandatory.","Traveler's Cache schema; no-container-nesting rule; item drop, death, trade, and restart semantics.","Traveler's Cache is custom design; backpack mod candidate TBD (provisional).","Yes: cache component, nesting validation, and duplication-safe movement.","Medium","Planned, not implemented","Portable storage is convenience, not a replacement for warehouses. It must never contain another inventory-bearing item."
"local_warehouse_search","Local warehouse search","Convenience","At a settlement, a player can locate physical stock by item, tag, condition, owner, or location without opening every container.","A discovered storehouse or outpost can reveal a local search service.","A registered warehouse and its access permissions give a settlement a useful civic service.","Steward or Builder project evidence can improve facets and explainability, not grant magical access.","An indexed, bounded query reads derived summaries while physical containers remain authoritative.","A warehouse operator can charge for indexing or fulfilment while direct vanilla access remains free.","Registered containers; rebuildable index; bounded queries; permissions; atomic stack transfers.","Storage-index mod candidate TBD (provisional); vanilla containers remain the source of truth.","Yes: physical handles, revisions, permission checks, and stale-result handling.","Medium","Planned, not implemented","Search visibility must identify where the stack is. It must not silently withdraw or move a remote item."
"remote_warehouse_visibility","Remote warehouse visibility","Convenience","A player can see bounded summaries of distant stock while understanding that the goods remain physical and cannot be withdrawn by magic.","Maps, route notes, or an outpost discovery can establish which distant warehouse is known.","Connected settlements can publish read-only stock summaries through registered depots.","Merchant or Cartographer knowledge can improve confidence and freshness labels.","A versioned index projection serves bounded read-only requests without scanning every chunk.","A steward can quote a real shipment, fare, or lead time rather than offering an instant withdrawal.","Warehouse index; route registry; logistics request and reservation records; cross-dimension boundary.","No safe off-the-shelf candidate verified; storage and logistics adapters are provisional.","Yes: read-only projection, stale state, and shipment boundary.","High","Planned, not implemented","Remote visibility is not a universal warehouse. A later Portal Depot must be explicit physical infrastructure."
"bulk_stone","Bulk stone","Convenience","Large projects can obtain common stone through several deliberate supply chains instead of an AFK generator being the only sensible preparation.","A quarry region, exposed cliff, or abandoned masonry site supplies the first stock and knowledge.","A registered quarry, stoneworks, or settlement demand can produce reliable bulk orders.","Mason or Excavator breadth can improve selective quarrying and reduce wasted handling, not add an infinite multiplier.","A generator or processing line may reach high throughput only with real inputs, infrastructure, design, and output handling.","A mason, carrier, or warehouse can buy and import stone against a real order.","Projects; warehouses; logistics; data-driven demand and storage caps.","Create-style processing or quarry mod candidate (provisional), not selected for 26.2.","Yes: cap passive output, connect demand, and expose the physical supply route.","High","Planned, not implemented","Vanilla mining remains valid. Any engineered route must compete through investment and handling, not a hidden infinite bonus."
"bulk_wood","Bulk wood","Convenience","Building, fuel, storage, and transport projects can obtain timber without forcing every player into a high-volume tree farm.","A first forest expedition records species, habitat, and a sustainable source.","A managed woodland, forester, or settlement timber yard provides repeatable stock.","Naturalist or Builder breadth can support species-aware harvesting and replanting.","A tree system may be engineered for throughput, but it must require space, saplings, time, and output handling.","Timber can be commissioned, traded, or moved from a known region through a physical route.","Regional knowledge; storage; forestry rules; demand and replanting data.","Forestry or tree-farm mod candidate TBD (provisional).","Yes: regional supply tags, bounded output, and non-destructive replanting rules.","Medium","Planned, not implemented","A managed woodland is an infrastructure service, not an infinite passive percentage bonus."
"sand_and_glass_supply","Sand and glass supply","Convenience","Glassworks, windows, concrete, bottles, and decoration can be supplied without a permanent desert mining chore or an unexamined duplication loop.","The first desert, river, or ruin survey establishes sand knowledge and a regional source.","A glassworks, kiln, or mason service turns declared inputs into stock for local projects.","Mason or Glassworker technique can reduce breakage and improve processing choices.","A smelting or processing line can scale with sand, fuel, containers, and receiving capacity.","Desert imports and glass commissions connect regions through a real warehouse or route.","Processing recipes; warehouse; freight; regional resource records.","Vanilla smelting; Create-style processing candidate (provisional).","Yes: supply accounting, output caps, and safe integration with recipe viewers.","High","Planned, not implemented","Do not remove sand duplication or mining routes before an equally understandable glass supply exists."
"food_preservation","Food preservation","Convenience","A harvest or hunt remains useful across seasons and journeys without forcing constant crop reaping or making spoilage an invisible deletion rule.","A region can reveal a preservation method, ingredient, salt source, cold store, or drying practice.","A pantry, smokehouse, cellar, or communal kitchen turns surplus into stable stock.","Cook or Naturalist technique can improve quality, duration, or suitability without requiring a single cuisine.","Cooling, drying, smoking, or packing may be automated with real inputs and bounded storage.","Preserved food can be bought, commissioned, or imported with known quality and shelf life.","Food traits; seasonal or climate adapter; storage; visible quality and expiry rules.","Serene Seasons and cooking-mod candidates (provisional).","Yes: readable preservation state, cross-mod food mapping, and bounded effects.","Medium","Planned, not implemented","Ordinary vanilla food remains edible. Preservation extends choice and reduces waste, rather than becoming a mandatory hunger tax."
"regional_crop_cultivation","Regional crop cultivation","Specialization","A discovered regional ingredient becomes renewable at home through a greenhouse, habitat, or cultivation practice.","First access comes from a real regional discovery, sample, or seed exchange.","A functional greenhouse, garden, or settlement farm provides a dependable local growing place.","Farmer or Naturalist mastery develops soil, climate, pollination, and harvest technique.","Irrigation, climate control, and harvest handling can scale production with energy, water, space, and inputs.","Seeds, cuttings, and produce can be traded or imported after the ingredient is known.","Regional knowledge; crop data; climate abstraction; greenhouse validation; storage.","Serene Seasons and farming mods are provisional until 26.2 and trait compatibility are tested.","Yes: discovery state, climate abstraction, crop traits, and bounded yield.","High","Planned, not implemented","Specialisation should make cultivation excellent, not make non-farmers unable to eat ordinary food."
