project_name,project_id,role,exact_version,minecraft_version,loader,environment,release_type,release_date,last_meaningful_update,maintenance_signals,source_available,license,redistribution_rules,required_dependencies,configuration_quality,documented_api,multiplayer_support,dedicated_server_support,performance_risk,save_persistence,removal_consequence,worldgen_impact,matcha_overlap,overlap_with_other_candidates,known_conflicts,documentation_quality,guidebook_or_advancement_noise,custom_patch_likely,decision,confidence,rationale,authoritative_sources
AutoBuild,wzBO46L7,building/gathering,2.0.1+26.2 [Q7qeA1GB],26.2,fabric,client_and_server,release,2026-08-15T15:41:30.686311Z,2026-08-15,Modrinth metadata updated 2026-08-15; no source_url supplied.,no (no source_url supplied),MIT,Redistribution is generally permitted with the upstream copyright and licence notice retained.,Fabric API,documented,no,server and client required,yes,medium/high,"build history and configuration, plus ordinary placed blocks",medium,none,"low, only generic building overlap","Effortless Building, Litematica, Building Wands, Axiom","No source_url; automated placement, undo history and schematic imports must not bypass server permissions or create duplication",good,low,possible,COMPATIBILITY_SPIKE,HIGH,"AutoBuild has a stable 26.2 release and explicitly supports multiplayer with the mod on both sides, but autonomous schematic placement needs a server-authority and ordinary-building safety spike. No source_url was supplied.",https://api.modrinth.com/v2/project/wzBO46L7;https://api.modrinth.com/v2/project/wzBO46L7/version?game_versions=%5B%2226.2%22%5D&loaders=%5B%22fabric%22%5D
Axiom,N6n5dqoA,building/gathering,6.0.0 [DEXe5O7N],26.2,fabric,client_or_server_prefers_both,alpha,2026-08-24T01:40:08.492616Z,2026-08-24,Modrinth metadata updated 2026-08-24; no source_url supplied.,no (no source_url supplied),LicenseRef-All-Rights-Reserved (All rights reserved),All rights reserved; private development is not a redistribution grant. Obtain permission or replace before release.,Fabric API,clear,partial,client and optional server,optional,high,world edits and editor history,very high,none,none identified,"AutoBuild, Effortless Building, Litematica, Building Wands",All-Rights-Reserved and commercial licensing language; no source_url; automatic history persistence increases save review scope,good,none,no,REJECT,HIGH,"Axiom is a capable 26.2 alpha world editor, but its All-Rights-Reserved terms, absent source_url, creative/editor focus and broad world-editing authority do not fit the default survival building baseline.",https://api.modrinth.com/v2/project/N6n5dqoA;https://api.modrinth.com/v2/project/N6n5dqoA/version?game_versions=%5B%2226.2%22%5D&loaders=%5B%22fabric%22%5D
Building Wands,XkisZUfp,building/gathering,3.2.2 [madr0hP0],26.2,fabric,client_and_server,release,2026-08-09T07:36:37.074530Z,2026-08-09,Modrinth metadata updated 2026-08-09; latest source commit 2026-08-09: v3.2.1 fix recipes; recent issue records observed.,yes (public source link),Apache-2.0,"Redistribution is permitted under Apache-2.0 with notices, attribution and licence text retained.",Cloth Config API,clear,no,server and client,yes,medium,configuration and ordinary placed blocks,medium,none,low,"Effortless Building, AutoBuild, Litematica",Source issues include a client crash report; blast mode consumes TNT in survival and needs server validation,good,low,possible,PILOT,MEDIUM,Building Wands offers a simpler survival-friendly 26.2 placement tool under Apache-2.0 with a public source repository. Pilot its XP/TNT costs and block permission handling against the pack building principles.,https://api.modrinth.com/v2/project/XkisZUfp;https://api.modrinth.com/v2/project/XkisZUfp/version?game_versions=%5B%2226.2%22%5D&loaders=%5B%22fabric%22%5D;https://github.com/nicguzzo/wands;https://github.com/nicguzzo/wands;https://api.github.com/repos/nicguzzo/wands;https://api.github.com/repos/nicguzzo/wands/commits?per_page=10;https://api.github.com/repos/nicguzzo/wands/issues?state=all&per_page=5
Effortless Building,DYtfQEYj,building/gathering,4.3 [BkGu1Eid],26.2,fabric,client_and_server,release,2026-08-01T12:28:42.216867Z,2025-03-22,Modrinth metadata updated 2026-08-01; latest source commit 2025-03-22: Updated dependencies.,yes (public source link),LGPL-3.0-only,Redistribution is permitted under LGPL-3.0-only with notices and applicable source/relinking obligations.,None declared in selected version record,clear,no,server and client required,yes,medium/high,configuration and ordinary placed blocks,medium,none,low,"AutoBuild, Building Wands, Litematica",Requires both sides; server functional settings are admin-controlled; source commit evidence is older than the 26.2 upload,good,low,possible,PILOT,HIGH,"Effortless Building has a stable 26.2 release and broad survival placement tools, including mirrors, arrays and undo. Its older source commit signal and server/admin distinction justify an assembled multiplayer pilot.",https://api.modrinth.com/v2/project/DYtfQEYj;https://api.modrinth.com/v2/project/DYtfQEYj/version?game_versions=%5B%2226.2%22%5D&loaders=%5B%22fabric%22%5D;https://bitbucket.org/Requios/effortless-building/src/master/;https://api.bitbucket.org/2.0/repositories/Requios/effortless-building;https://api.bitbucket.org/2.0/repositories/Requios/effortless-building/commits?pagelen=10;https://api.bitbucket.org/2.0/repositories/Requios/effortless-building/issues?pagelen=5
Litematica,bEpr0Arc,building/gathering,0.28.5 [Fhq3KCI8],26.2,fabric,client_only,release,2026-08-20T01:12:38.969277Z,2026-08-28,Modrinth metadata updated 2026-08-20; latest source commit 2026-08-28: Translated using Weblate (Dutch); recent issue records observed.,yes (public source link),LGPL-3.0-only,Redistribution is permitted under LGPL-3.0-only with notices and applicable source/relinking obligations.,MaLiLib,documented,partial,client-only,no,medium,"client schematic files and configuration, world unchanged until placement",low/medium,none,low,"AutoBuild, Axiom, Effortless Building",Easy Place can trigger anti-cheat or bans; requires MaLiLib; source reports shader and disconnect edge cases,strong,low,no,PILOT,HIGH,"Litematica has a stable 26.2 client release and an actively maintained source repository, making it the strongest schematic-preview candidate. Use preview and material-list features first, with Easy Place disabled until server policy is tested.",https://api.modrinth.com/v2/project/bEpr0Arc;https://api.modrinth.com/v2/project/bEpr0Arc/version?game_versions=%5B%2226.2%22%5D&loaders=%5B%22fabric%22%5D;https://github.com/sakura-ryoko/litematica;https://github.com/sakura-ryoko/litematica;https://api.github.com/repos/sakura-ryoko/litematica;https://api.github.com/repos/sakura-ryoko/litematica/commits?per_page=10;https://api.github.com/repos/sakura-ryoko/litematica/issues?state=all&per_page=5
Liteminer,VTnHoofC,building/gathering,4.1.2+26.2 [dK23TC0J],26.2,fabric,client_and_server,release,2026-07-28T00:41:33.026111Z,2026-07-27,Modrinth metadata updated 2026-07-28; latest source commit 2026-07-27: Finish the Liteminer TeaKit migration; recent issue records observed.,yes (public source link),MIT,Redistribution is generally permitted with the upstream copyright and licence notice retained.,Konfig; Amber,clear,partial,server and client,yes,medium,configuration and ordinary block changes,medium,none,low,MinersAdvantage,Requires Konfig and Amber; broad group breaking can amplify resource throughput and must not become hidden progression,good,low,possible,PILOT,HIGH,"Liteminer has a stable 26.2 release, current source work and explicit tag controls compatible with FTB Ultimine tags. Pilot vein/tree/group mining against equipment condition, permission and duplication rules.",https://api.modrinth.com/v2/project/VTnHoofC;https://api.modrinth.com/v2/project/VTnHoofC/version?game_versions=%5B%2226.2%22%5D&loaders=%5B%22fabric%22%5D;https://github.com/iamkaf/liteminer;https://github.com/iamkaf/liteminer;https://api.github.com/repos/iamkaf/liteminer;https://api.github.com/repos/iamkaf/liteminer/commits?per_page=10;https://api.github.com/repos/iamkaf/liteminer/issues?state=all&per_page=5
MinersAdvantage,VcTmRh04,building/gathering,2.22.0+26.2-fabric [6KojE9jd],26.2,fabric,client_and_server,release,2026-08-06T23:06:36.710799Z,2026-08-06,Modrinth metadata updated 2026-08-06; latest source commit 2026-08-06: 🐞fix: restore neoforge preview outline submission; recent issue records observed.,yes (public source link),MIT,Redistribution is generally permitted with the upstream copyright and licence notice retained.,Cloth Config API,clear,no,server and client,yes,high,configuration and ordinary block changes,medium,none,low,Liteminer,"New rewrite and low download signal; shaft mining, tree clearing and setting sync need duplication and permission tests",good,low,possible,COMPATIBILITY_SPIKE,MEDIUM,"MinersAdvantage has a 26.2 release and server-synchronised gameplay settings, but it is a recent full rewrite with low observed adoption. Compare it directly with Liteminer before selecting one excavation tool.",https://api.modrinth.com/v2/project/VcTmRh04;https://api.modrinth.com/v2/project/VcTmRh04/version?game_versions=%5B%2226.2%22%5D&loaders=%5B%22fabric%22%5D;https://github.com/DuelMonster/MinersAdvantage;https://github.com/DuelMonster/MinersAdvantage;https://api.github.com/repos/DuelMonster/MinersAdvantage;https://api.github.com/repos/DuelMonster/MinersAdvantage/commits?per_page=10;https://api.github.com/repos/DuelMonster/MinersAdvantage/issues?state=all&per_page=5
Dungeons and Taverns,tpehi7ww,exploration,5.3.1+mod [TaODUzQu],26.2,fabric,server_only,release,2026-08-27T16:06:58.906322Z,2026-08-27,Modrinth metadata updated 2026-08-27; no source_url supplied.,no (no source_url supplied),LicenseRef-All-Rights-Reserved (All rights reserved),All rights reserved; private development is not a redistribution grant. Obtain permission or replace before release.,None declared in selected version record,documented per-structure removal,no,server-side,yes,high,"generated structures, loot and map/trade content",very high,high,"moderate, exploration and loot overlap","Roguelike Dungeons, Structory, Towns and Towers, Moog structures",All-Rights-Reserved; no source_url; 2-in-1 mod/resource content and deletion of structure_set files require provenance and fresh-world policy,mixed,moderate,likely,DEFER,HIGH,"Dungeons and Taverns has a very recent 26.2 server release and a restrained-leaning vanilla style, but it is All-Rights-Reserved, has no source_url and adds a broad structure/loot/map layer. Defer until density and removal are tested on fresh worlds.",https://api.modrinth.com/v2/project/tpehi7ww;https://api.modrinth.com/v2/project/tpehi7ww/version?game_versions=%5B%2226.2%22%5D&loaders=%5B%22fabric%22%5D
MVS - Moog's Voyager Structures,OQAgZMH1,exploration,5.0.11 [cvepxaBC],26.2,fabric,server_only,release,2026-05-22T15:06:16.554307Z,2026-08-21,Modrinth metadata updated 2026-07-06; latest source commit 2026-08-21: Add supported_formats to pack.mcmeta so pack loads on MC 26.1.2+; issue endpoint HTTP 403.,yes (public source link),MIT,Redistribution is generally permitted with the upstream copyright and licence notice retained.,Moog's Structure Lib (moogs_structures),limited,no,server-side,yes,high,generated structures and loot,very high,high,"moderate, structure and loot overlap","Dungeons and Taverns, Roguelike Dungeons, Structory, Towns and Towers",Requires Moog's Structure Lib; broad structure count may make exploration a checklist and complicate existing-world rollout,good,low,possible,DEFER,HIGH,"Moog's Voyager Structures has a stable 26.2 server release, MIT licence and recent source changes, but its 130-plus structure scope is too broad for the conservative worldgen posture without density and overlap testing.",https://api.modrinth.com/v2/project/OQAgZMH1;https://api.modrinth.com/v2/project/OQAgZMH1/version?game_versions=%5B%2226.2%22%5D&loaders=%5B%22fabric%22%5D;https://github.com/Moog-s-Mods/MoogsVoyagerStructures;https://github.com/Moog-s-Mods/MoogsVoyagerStructures;https://api.github.com/repos/Moog-s-Mods/MoogsVoyagerStructures;https://api.github.com/repos/Moog-s-Mods/MoogsVoyagerStructures/commits?per_page=10;https://api.github.com/repos/Moog-s-Mods/MoogsVoyagerStructures/issues?state=all&per_page=5
Repurposed Structures - Fabric,muf0XoRe,exploration,7.7.6+26.2-fabric [CrmgMIJp],26.2,fabric,server_only,release,2026-08-20T01:35:53.805062Z,2026-08-20,Modrinth metadata updated 2026-08-20; no source_url supplied.,no (no source_url supplied),LGPL-3.0-only,Redistribution is permitted under LGPL-3.0-only with notices and applicable source/relinking obligations.,Fabric API; MidnightLib,documented,no,server-side,yes,high,generated structures and loot,very high,high,"moderate, structure and loot overlap","Dungeons and Taverns, Roguelike Dungeons, Structory, Towns and Towers",Requires Fabric API and MidnightLib; no source_url; do not add to existing-world baseline without chunk-generation tests,good,low,possible,DEFER,HIGH,"Repurposed Structures has a stable 26.2 server release and a long-running concept of vanilla structure variants, but its worldgen impact is high and no source_url is supplied. It needs a separate worldgen decision.",https://api.modrinth.com/v2/project/muf0XoRe;https://api.modrinth.com/v2/project/muf0XoRe/version?game_versions=%5B%2226.2%22%5D&loaders=%5B%22fabric%22%5D
