asset_id,category,system,milestone,required_states,base_resolution,reuses_vanilla,accessibility_requirement,notes,status
block_construction_depot,block,construction,M2-design-approval,placed;active;empty;full;disabled,16x16,partial,"Shape and tooltip identify the depot; status cannot rely on colour alone","Planned only. Reuse ordinary block geometry and sounds where appropriate. No asset created.",planned
block_freight_depot_or_receiving_crate,block,logistics,M2-design-approval,placed;receiving;empty;full;disabled,16x16,partial,"Distinct silhouette and interaction text identify freight state","Planned only. One depot or crate presentation, not a block per route. No asset created.",planned
block_route_marker,block,transport,M2-design-approval,placed;linked;unlinked;invalid,16x16,partial,"Marker shape plus route name and status text","Planned only. Must remain legible in alternate resource packs. No asset created.",planned
block_settlement_charter_or_notice_board,block,settlements,M2-design-approval,placed;readable;active;inactive,16x16,partial,"Readable interaction label and icon shape distinguish charter or notice function","Planned only. Prefer a reusable notice or ledger presentation. No asset created.",planned
block_shop_project_ledger,block,shops_and_projects,M2-design-approval,placed;shop;project;empty;active,16x16,partial,"Mode is shown by icon, title, and tooltip, not texture colour alone","Planned only. Multipurpose ledger, not a separate workstation for every profession or mastery. No asset created.",planned
block_warehouse_controller_terminal,block,storage,M2-design-approval,placed;connected;offline;error;full,16x16,partial,"Connection and error states have symbols and text","Planned only. Reuse terminal or container conventions where possible. No asset created.",planned
item_builders_toolkit_optional,item,construction,M2-design-approval,ordinary;active;worn;broken,16x16,partial,"Tooltip, broken text, and reusable state overlays provide non-colour cues","Planned only. Optional concept, subject to gameplay need approval. No asset created.",planned
item_coin_purse,item,economy,M2-design-approval,closed;open;empty;contains_balance;full;broken,16x16,partial,"Numeric balance and state text accompany the icon","Planned only. Physical and balance states must be distinguishable without colour. No asset created.",planned
item_field_guide,item,tutorialization,M2-design-approval,closed;open;new_entry;read,16x16,partial,"Title, page state, and text content remain available in tooltip or UI","Planned only. Use a familiar book-like silhouette. No asset created.",planned
item_settlement_charter,item,settlements,M2-design-approval,unread;read;active;completed,16x16,partial,"Charter state is shown by title, icon, and text","Planned only. Reuse book or paper conventions where possible. No asset created.",planned
item_shipping_manifest,item,logistics,M2-design-approval,unread;packed;in_transit;delivered;cancelled,16x16,partial,"Shipment state includes written status and order identifier","Planned only. Paper or book silhouette with composable state badge. No asset created.",planned
item_surveyors_tool_or_deed,item,surveying,M2-design-approval,ordinary;linked;unlinked;worn;broken,16x16,partial,"Link status, wear, and action are written and icon-shaped","Planned only. Tool or deed presentation depends on approved system need. No asset created.",planned
item_technique_plan_scroll,item,techniques,M2-design-approval,unread;read;learned;teach_unavailable,16x16,partial,"Technique name and learning state are text-visible","Planned only. Scroll silhouette with reusable state mark. No asset created.",planned
item_travelers_cache,item,logistics,M2-design-approval,closed;open;empty;contains_items;full,16x16,partial,"Slot count and contents status are text-visible","Planned only. No container nesting implied by the presentation. No asset created.",planned
overlay_tool_states,overlay,equipment,M2-design-approval,ordinary;worn;broken;specialization_indicator,16x16 overlay,yes,"Tooltip and state text or icon shape must duplicate every overlay state","Planned only. Reusable overlays composed over a base tool, never every state combination. No asset created.",planned
overlay_villager_states,overlay,villagers,M2-design-approval,profession;rank;initial_mason;regional_tint_accent,16x16 overlay,partial,"Profession and rank have symbols or labels; regional tint is never the sole cue","Planned only. Composable overlays, no profession-specific workstation art. No asset created.",planned
sound_contract_stamp,sound,settlements,M2-design-approval,trigger;success;subtitle,audio,partial,"Subtitle required for every playback context","Planned only. Reuse a vanilla confirmation sound if it communicates the action. No audio created.",planned
sound_discovery,sound,projects_and_discoveries,M2-design-approval,trigger;success;subtitle,audio,partial,"Subtitle required and discovery text remains visible","Planned only. No audio created.",planned
sound_item_breaking,sound,equipment,M2-design-approval,trigger;subtitle,audio,yes,"Subtitle states that the item is broken and needs repair","Planned only. Prefer a vanilla break cue with a subtitle. No audio created.",planned
sound_journal_page,sound,tutorialization,M2-design-approval,open;turn;subtitle,audio,yes,"Subtitle or text cue identifies the journal action","Planned only. Prefer a quiet vanilla page cue. No audio created.",planned
sound_mastery_unlock,sound,mastery,M2-design-approval,trigger;success;subtitle,audio,partial,"Subtitle names the unlocked mastery or path","Planned only. No audio created.",planned
sound_migrant_arrival,sound,villagers,M2-design-approval,trigger;success;subtitle,audio,partial,"Subtitle identifies arrival and remains available without audio","Planned only. No audio created.",planned
sound_project_completion,sound,projects_and_discoveries,M2-design-approval,trigger;success;subtitle,audio,partial,"Subtitle names the completed project","Planned only. No audio created.",planned
sound_repair_reforge,sound,equipment,M2-design-approval,repair;reforge;success;subtitle,audio,partial,"Subtitle distinguishes repair from reforge","Planned only. No audio created.",planned
sound_sale,sound,economy,M2-design-approval,offer;accepted;subtitle,audio,partial,"Subtitle identifies a completed sale or declined state in text","Planned only. No audio created.",planned
sound_shipment_arrival,sound,logistics,M2-design-approval,trigger;success;subtitle,audio,partial,"Subtitle identifies the arriving shipment","Planned only. No audio created.",planned
ui_icon_building_types,ui_icon,settlements,M2-design-approval,home;workplace;depot;public;outpost,16x16,yes,"Each type has a silhouette, label, and text description","Planned only. No icon sheet created.",planned
ui_icon_food_traits,ui_icon,food,M2-design-approval,nutrition;preservation;effect;quality,16x16,yes,"Trait name and value accompany glyphs","Planned only. No icon sheet created.",planned
ui_icon_housing_jobs_food_safety_connectivity_storage,ui_icon,settlements,M2-design-approval,housing;jobs;food;safety;connectivity;storage;unknown,16x16,yes,"Each status has a distinct shape and text explanation, including unknown","Planned only. No icon sheet created.",planned
ui_icon_item_wear_repair,ui_icon,equipment,M2-design-approval,condition;worn;broken;repair;reforge,16x16,yes,"Shape and text identify condition and available action","Planned only. No icon sheet created.",planned
ui_icon_masteries,ui_icon,mastery,M2-design-approval,focus;supporting;inactive;locked;progress,16x16,yes,"Emblem, label, and numeric progress do not depend on colour","Planned only. No icon sheet created.",planned
ui_icon_obols_and_stock,ui_icon,economy,M2-design-approval,balance;physical_stock;available;unavailable;quantity,16x16,yes,"Numeric balance, unit name, and stock text accompany glyphs","Planned only. No icon sheet created.",planned
ui_icon_orders_and_shipments,ui_icon,logistics,M2-design-approval,order;packed;in_transit;delayed;delivered;cancelled,16x16,yes,"Directional shape and written status identify each shipment state","Planned only. No icon sheet created.",planned
ui_icon_perks,ui_icon,mastery,M2-design-approval,locked;available;unlocked;active;inactive,16x16,yes,"Perk name and description accompany a distinct glyph","Planned only. No icon sheet created.",planned
ui_icon_professional_ranks,ui_icon,villagers,M2-design-approval,rank_1;rank_2;rank_3;unknown,16x16,yes,"Rank shape and written rank name are required","Planned only. No icon sheet created.",planned
ui_icon_professions,ui_icon,villagers,M2-design-approval,mason;future_profession;unassigned,16x16,yes,"Profession name and emblem are required; clothing colour is insufficient","Planned only. Initial Mason presentation is included as a planned state. No icon sheet created.",planned
ui_icon_projects_discoveries,ui_icon,projects_and_discoveries,M2-design-approval,planned;active;blocked;complete;new_discovery,16x16,yes,"Progress shape, status text, and discovery label are required","Planned only. No icon sheet created.",planned
ui_icon_regions,ui_icon,regions,M2-design-approval,undiscovered;discovered;known_resource;connected,16x16,yes,"Region name and map or marker shape accompany status","Planned only. No icon sheet created.",planned
ui_icon_seasons_weather,ui_icon,climate,M2-design-approval,season;clear;rain;storm;unknown,16x16,yes,"Written state and time accompany symbols; never colour alone","Planned only. No icon sheet created.",planned
ui_icon_techniques,ui_icon,techniques,M2-design-approval,unknown;known;learned;teachable;mastered,16x16,yes,"Technique name, source, and state are text-visible","Planned only. No icon sheet created.",planned
ui_icon_transport_modes,ui_icon,transport,M2-design-approval,road;rail;portal_depot;unavailable;validated,16x16,yes,"Mode silhouette plus route name and availability text","Planned only. No icon sheet created.",planned
