"source_file","source_kind","source_location","relation","target","target_kind","resolution_status","reason","observation_type"
"assets/minecraft/sounds.json","asset-reference","$.custom.false_subwoofer_lullaby.sounds[0].name","json-id-reference","matcha:custom/false_subwoofer_lullaby","namespaced-id","unresolved","observed-namespace-without-matching-observed-file","observed-reference"
"assets/minecraft/sounds.json","asset-reference","$.custom.golden.sounds[0].name","json-id-reference","matcha:custom/golden_demo","namespaced-id","unresolved","observed-namespace-without-matching-observed-file","observed-reference"
"data/crafting/recipe/music_disc_golden.json","recipes","$.result.components.minecraft:jukebox_playable","recipe-result","main:golden","namespaced-id","unresolved","observed-namespace-without-matching-observed-file","observed-reference"
"data/custom_music/recipe/music_disc_labyrinthine.json","recipes","$.result.components.minecraft:jukebox_playable","recipe-result","main:labyrinthine","namespaced-id","unresolved","observed-namespace-without-matching-observed-file","observed-reference"
"data/main/advancement/glass_bottle_from_crafting.json","advancement","$.criteria.made_mud_from_dirt_and_potion.conditions.recipe_id","json-id-reference","crafting:mud_from_dirt_and_potion","namespaced-id","unresolved","observed-namespace-without-matching-observed-file","observed-reference"
"data/main/advancement/particle/estus_flask.json","advancements","$.function","advancement-reward-function","main:mechanic/estus/estus_flask_particles","namespaced-id","unresolved","observed-namespace-without-matching-observed-file","observed-reference"
"data/main/advancement/particle/estus_flask.json","advancement","$.rewards.function","function-reference","main:mechanic/estus/estus_flask_particles","namespaced-id","unresolved","observed-namespace-without-matching-observed-file","observed-reference"
"data/main/advancement/recipe_unlocks/apple.json","advancement","$.criteria.has_the_recipe.conditions.recipe","json-id-reference","food:buttered_apple","namespaced-id","unresolved","observed-namespace-without-matching-observed-file","observed-reference"
"data/main/advancement/recipe_unlocks/diamond.json","advancements","$.recipes[9]","advancement-reward-recipe","crafting:diamond_compass","namespaced-id","unresolved","observed-namespace-without-matching-observed-file","observed-reference"
"data/main/advancement/recipe_unlocks/diamond.json","advancement","$.rewards.recipes[9]","recipe-reference","crafting:diamond_compass","namespaced-id","unresolved","observed-namespace-without-matching-observed-file","observed-reference"
"data/main/advancement/recipe_unlocks/iron_ingot.json","advancements","$.recipes[15]","advancement-reward-recipe","crafting:iron_chain_from_iron","namespaced-id","unresolved","observed-namespace-without-matching-observed-file","observed-reference"
"data/main/advancement/recipe_unlocks/iron_ingot.json","advancement","$.rewards.recipes[15]","recipe-reference","crafting:iron_chain_from_iron","namespaced-id","unresolved","observed-namespace-without-matching-observed-file","observed-reference"
"data/main/advancement/recipe_unlocks/pumpkin.json","advancement","$.criteria.has_the_recipe.conditions.recipe","json-id-reference","food:pumpkin_slice","namespaced-id","unresolved","observed-namespace-without-matching-observed-file","observed-reference"
"data/main/advancement/recipe_unlocks/wheat_and_dry_grass.json","advancement","$.criteria.has_the_recipe.conditions.recipe","json-id-reference","crafting:alt_torch","namespaced-id","unresolved","observed-namespace-without-matching-observed-file","observed-reference"
"data/main/advancement/using_item.json","advancements","$.function","advancement-reward-function","main:backend_using_custom_item","namespaced-id","unresolved","observed-namespace-without-matching-observed-file","observed-reference"
"data/main/advancement/using_item.json","advancement","$.rewards.function","function-reference","main:backend_using_custom_item","namespaced-id","unresolved","observed-namespace-without-matching-observed-file","observed-reference"
"data/main/enchantment/reach.json","registry-reference","$.effects.minecraft:attributes[0].id","json-id-reference","main:enchantments/reach","namespaced-id","unresolved","observed-namespace-without-matching-observed-file","observed-reference"
"data/main/enchantment/slaughter.json","registry-reference","$.effects.minecraft:damage[0].requirements.predicate.minecraft:entity_type","json-id-reference","#main:livestock","tag-id","unresolved","observed-namespace-without-matching-observed-file","observed-reference"
"data/main/enchantment/traversal.json","registry-reference","$.effects.minecraft:location_changed[0].effect.effects[0].id","json-id-reference","main:enchantment.traversal","namespaced-id","unresolved","observed-namespace-without-matching-observed-file","observed-reference"
"data/main/function/enchantment_effects/slaughter.mcfunction","functions","line:1","namespace-reference","#main:livestock","tag-id","unresolved","observed-namespace-without-matching-observed-file","observed-reference"
"data/main/function/enchantment_effects/warding0.mcfunction","functions","line:1","namespace-reference","#main:warding_targets_slowed","tag-id","unresolved","observed-namespace-without-matching-observed-file","observed-reference"
"data/main/function/enchantment_effects/warding0.mcfunction","functions","line:2","namespace-reference","#main:warding_targets","tag-id","unresolved","observed-namespace-without-matching-observed-file","observed-reference"
"data/main/function/enchantment_effects/warding0.mcfunction","functions","line:3","namespace-reference","#main:warding_targets","tag-id","unresolved","observed-namespace-without-matching-observed-file","observed-reference"
"data/main/function/enchantment_effects/warding0.mcfunction","functions","line:5","namespace-reference","#main:warding_targets","tag-id","unresolved","observed-namespace-without-matching-observed-file","observed-reference"
"data/main/function/enchantment_effects/warding1.mcfunction","functions","line:1","namespace-reference","#main:warding_targets_slowed","tag-id","unresolved","observed-namespace-without-matching-observed-file","observed-reference"
"data/main/function/enchantment_effects/warding1.mcfunction","functions","line:2","namespace-reference","#main:warding_targets","tag-id","unresolved","observed-namespace-without-matching-observed-file","observed-reference"
"data/main/function/enchantment_effects/warding1.mcfunction","functions","line:3","namespace-reference","#main:warding_targets","tag-id","unresolved","observed-namespace-without-matching-observed-file","observed-reference"
"data/main/function/enchantment_effects/warding1.mcfunction","functions","line:5","namespace-reference","#main:warding_targets","tag-id","unresolved","observed-namespace-without-matching-observed-file","observed-reference"
"data/main/function/enchantment_effects/warding2.mcfunction","functions","line:1","namespace-reference","#main:warding_targets_slowed","tag-id","unresolved","observed-namespace-without-matching-observed-file","observed-reference"
"data/main/function/enchantment_effects/warding2.mcfunction","functions","line:2","namespace-reference","#main:warding_targets","tag-id","unresolved","observed-namespace-without-matching-observed-file","observed-reference"
"data/main/function/enchantment_effects/warding2.mcfunction","functions","line:3","namespace-reference","#main:warding_targets","tag-id","unresolved","observed-namespace-without-matching-observed-file","observed-reference"
"data/main/function/enchantment_effects/warding2.mcfunction","functions","line:5","namespace-reference","#main:warding_targets","tag-id","unresolved","observed-namespace-without-matching-observed-file","observed-reference"
"data/main/function/enchantment_effects/warding3.mcfunction","functions","line:2","namespace-reference","#main:warding_targets","tag-id","unresolved","observed-namespace-without-matching-observed-file","observed-reference"
"data/main/function/enchantment_effects/warding3.mcfunction","functions","line:3","namespace-reference","#main:warding_targets","tag-id","unresolved","observed-namespace-without-matching-observed-file","observed-reference"
"data/main/function/enchantment_effects/warding3.mcfunction","functions","line:4","namespace-reference","#main:warding_targets","tag-id","unresolved","observed-namespace-without-matching-observed-file","observed-reference"
"data/main/function/enchantment_effects/warding3.mcfunction","functions","line:6","namespace-reference","#main:warding_targets","tag-id","unresolved","observed-namespace-without-matching-observed-file","observed-reference"
"data/main/function/enchantment_effects/warding3.mcfunction","functions","line:7","namespace-reference","#main:warding_targets","tag-id","unresolved","observed-namespace-without-matching-observed-file","observed-reference"
"data/main/function/enchantment_effects/warding3.mcfunction","functions","line:8","namespace-reference","#main:warding_targets","tag-id","unresolved","observed-namespace-without-matching-observed-file","observed-reference"
"data/main/function/mechanic/spawn_mechanic/easy_modifications.mcfunction","functions","line:2","namespace-reference","#main:mundane_hostiles","tag-id","unresolved","observed-namespace-without-matching-observed-file","observed-reference"
"data/main/function/mechanic/spawn_mechanic/hard_modifications.mcfunction","functions","line:2","namespace-reference","#main:mundane_hostiles","tag-id","unresolved","observed-namespace-without-matching-observed-file","observed-reference"
"data/main/function/mechanic/spawn_mechanic/normal_modifications.mcfunction","functions","line:2","namespace-reference","#main:mundane_hostiles","tag-id","unresolved","observed-namespace-without-matching-observed-file","observed-reference"
"data/main/function/mechanic/spawn_mechanic/ticking.mcfunction","functions","line:2","namespace-reference","#main:mundane_hostiles","tag-id","unresolved","observed-namespace-without-matching-observed-file","observed-reference"
"data/main/function/mechanic/spawn_mechanic/ticking.mcfunction","functions","line:4","namespace-reference","#main:mundane_hostiles","tag-id","unresolved","observed-namespace-without-matching-observed-file","observed-reference"
"data/main/function/mechanic/warding_stone/warding_stone.mcfunction","functions","line:1","namespace-reference","#main:villager_friends","tag-id","unresolved","observed-namespace-without-matching-observed-file","observed-reference"
"data/main/function/mechanic/warding_stone/warding_stone_effects.mcfunction","functions","line:2","namespace-reference","#main:warding_stone_targets","tag-id","unresolved","observed-namespace-without-matching-observed-file","observed-reference"
