system_id,category,source_files,observed_behavior,vanilla_behavior_replaced,inferred_purpose,player_ux,mod_compatibility_risk,persistence_risk,multiplayer_risk,keep,extend,override,replace_eventually,undecided,rationale,required_tests,notes
matcha.early_progression,progression,"data/minecraft/tags/function/load.json;data/main/function/setup/load.mcfunction;data/main/function/setup/scoreboard.mcfunction;data/main/function/setup/gamerules.mcfunction;data/main/function/setup/revoke_all_recipe_unlock_advancements.mcfunction;data/main/advancement/tutorial/root.json;data/main/advancement/tutorial/obtain_dry_grass.json;data/main/advancement/tutorial/obtain_kiln.json","Static source: the load tag invokes main:setup/load. That function calls environmental/load_day_cycle_extender, setup/scoreboard, and setup/gamerules, sends two load messages, and reports difficulty. setup/scoreboard creates version_number with current_version set to 112. setup/revoke_all_recipe_unlock_advancements revokes many recipe_unlocks advancements. tutorial/root starts from minecraft:tick and tutorial/obtain_kiln follows obtain_dry_grass.",partial,"Inference: The source appears intended to turn first play and version updates into a guided, staged path while surfacing instructions in advancements. Confidence: medium.",guided,high,high,high,,,x,,,"The reset and global gamerule changes are deliberate compatibility overrides, while the instructional advancement tree can be retained only after vanilla-control and new-player tests.","Fresh Matcha player from spawn through first milestone; vanilla-control world; recipe reset on first join and update; Matcha absent and unsupported-version startup; two-player join ordering.","Evidence: generated/matcha/1.12/functions.json, scoreboards.json, advancements.json, and vanilla-overrides.csv. No runtime trace was supplied, so the exact first milestone and selector scope remain unverified."
matcha.fire_campfire,survival,"data/crafting/recipe/campfire.json;data/crafting/recipe/fire_starter.json;data/main/advancement/tutorial/light_campfire.json;data/main/function/mechanic/wandering_trader/beacon_kindling_placed.mcfunction;data/main/function/mechanic/wandering_trader/check_wandering_trader_timer_loop.mcfunction;pack.mcmeta","Static source: campfire.json creates an unlit campfire from logs and sticks. fire_starter.json uses two flint for flint_and_steel. light_campfire watches item_used_on_block with campfire and flint_and_steel. beacon_kindling_placed changes a marker location to a signal_fire campfire and starts the trader timer; the timer checks whether that campfire is lit.",partial,"Inference: Ordinary fire and campfire use appear to remain available while a campfire can also act as a deliberate beacon trigger. Confidence: medium.",mixed,high,medium,high,,x,,,,"Keep normal ignition and cooking available, but isolate and explicitly order the beacon/trader override because it changes a campfire into a world event.","Fire, soul fire, campfire cooking, rain, water, extinguishing, and multiplayer beacon tests; vanilla control; absent resource pack; unsupported Matcha profile.","Evidence: generated/matcha/1.12/recipes.json, functions.json, advancements.json, and pack-filters.json. The archive has no runtime trace for ignition, spread, or trader arrival."
matcha.kiln_smelting,processing,"data/crafting/recipe/mudkiln.json;data/crafting/recipe/oven.json;data/blasting/recipe/steel_alloy.json;data/smelting/recipe/dirt_from_smelting_grass_block.json;data/smoking/recipe/charcoal.json;data/food/recipe/bread.json;data/main/advancement/tutorial/obtain_kiln.json;data/main/advancement/tutorial/obtain_oven.json","Static source: mudkiln.json crafts a smoker from mud bricks, packed mud, and a campfire. oven.json crafts a furnace from bricks, iron, and a campfire. The audit inventory contains 26 blasting, 30 smoking, and 3 smelting recipes, while food supplies additional smelting and campfire recipes. No custom kiln block file was observed.",partial,"Inference: The recipes appear intended to make processing stations and alternate cooking routes part of the early material path without replacing the vanilla processing engine. Confidence: medium.",additive,medium,medium,medium,,x,,,,"Extend the vanilla stations and preserve automation unless a traced recipe conflict requires a narrow override.","Furnace, blast furnace, smoker, campfire, automation, fuel, XP, interruption, and recipe-unlock vanilla controls; absent and unsupported Matcha cases.","Evidence: generated/matcha/1.12/recipes.json and advancements.json. Runtime timing, container behaviour, and exact recipe conflicts were not observed."
matcha.tool_tiers,equipment,"data/crafting/recipe/copper_pickaxe.json;data/smithing_table/recipe/bronze_pickaxe.json;data/smithing_table/recipe/adamant_mattock.json;data/minecraft/tags/block/mineable/pickaxe.json;assets/minecraft/items/bronze_pickaxe.json;assets/minecraft/items/adamant_mattock.json","Static source: copper_pickaxe produces a minecraft:copper_pickaxe with tool rules, max_damage 350, and an item_model. bronze_pickaxe transforms a copper pickaxe and returns a stone_pickaxe with max_damage 1000 plus mining and attribute components. adamant_mattock returns a netherite_hoe with max_damage 5000 and tool rules. Resource item definitions and models are placed in the minecraft namespace.",substantial,"Inference: The tier and tool files appear intended to create a material ladder and additional tool roles by reusing vanilla base items. Confidence: medium.",mixed,high,high,medium,,,x,,,"The same vanilla IDs are assigned different tool rules, attributes, and models. Keep this behind the profile-scoped identity adapter until unknown signatures and durability are tested.","Every tier against representative blocks and entities; mining speed, drops, attack, enchantments, off-hand, zero condition, unknown signature, vanilla control, missing resource pack, and unsupported profile.","Evidence: generated/matcha/1.12/assets.json, recipes.json, registry-data.json, and vanilla-overrides.csv. No runtime mining or attack trace was supplied."
matcha.item_substitutions,items,"data/crafting/recipe/crystal_heart.json;data/crafting/recipe/beacon_kindling.json;data/crafting/recipe/warding_stone.json;data/food/recipe/green_curry.json;data/minecraft/villager_trade/cartographer/3/abbey.json;assets/minecraft/items/heart_container.json;assets/minecraft/items/beacon_kindling.json;assets/minecraft/items/warding_stone.json","Static source: crystal_heart returns poisonous_potato with item_model heart_container. beacon_kindling returns chicken_spawn_egg with marker entity_data. warding_stone returns chicken_spawn_egg with armor_stand entity_data. green_curry returns poisonous_potato with food and effect components. The abbey map trade sets item_model abbey_map on map output.",substantial,"Inference: These exact components appear intended to distinguish gameplay objects while retaining vanilla stack IDs. Confidence: high for the signature fact, medium for purpose.",mixed,high,high,high,,,x,,,"Only exact server-side signatures may map to stable concepts. A missing model, ordinary stack with the same base item, or altered resource pack must fall back without guessing.","Signature parser; ordinary same-base vanilla item; missing and alternate resource packs; stack, container, trade, drop, and death movement; unknown-signature fallback; unsupported version.","Evidence: generated/matcha/1.12/recipes.json, loot-tables.json, assets.json, and advancements.json. Display names and textures are not accepted as identity evidence."
matcha.hunger,survival,"data/main/function/setup/scoreboard.mcfunction;data/main/function/mechanic/manage_hunger.mcfunction;data/main/function/setup/ticking_functions.mcfunction;data/main/function/setup/gamerules.mcfunction","Static source: setup/scoreboard creates a Hunger objective with the food criterion. manage_hunger is called from the tick dispatcher and gives hunger amplifier 255 when Hunger is 10 or higher and saturation amplifier 1 when Hunger is 6 or lower, using @a and @p selectors. setup/gamerules disables natural_health_regeneration.",substantial,"Inference: The source appears intended to replace passive regeneration with a stricter hunger pressure model. Confidence: medium.",restricted,high,high,high,,,x,,,"This changes a global survival rule and must be reconciled with Forever food and healing systems. Selector use makes per-player correctness a release blocker.","Starvation, saturation, sprint/action exhaustion, difficulty, two players with different hunger, relog, death, vanilla food control, Matcha absent, and unsupported-version tests.","Evidence: generated/matcha/1.12/scoreboards.json and functions.json. No controlled hunger runtime trace exists; @a followed by @p is an explicit multiplayer risk to test."
matcha.healing,survival,"data/main/function/setup/gamerules.mcfunction;data/crafting/recipe/estus_flask.json;data/main/function/mechanic/estus/check_if_estus_should_be_processed.mcfunction;data/main/function/mechanic/estus/estus_effects.mcfunction;data/main/function/mechanic/cake_eaten.mcfunction;data/main/function/mechanic/heart_container/clear_heart_container.mcfunction;data/main/function/mechanic/heart_container/set_max_hp.mcfunction;data/main/function/mechanic/warding_stone/warding_stone.mcfunction","Static source: natural regeneration is disabled. Estus processing checks blaze_powder and gives difficulty-dependent regeneration and resistance, gives glowstone dust, and clears blaze powder. cake_eaten grants instant_health and health_boost. A heart container adds Hearts and regeneration before clearing one matching item. A warding stone gives regeneration to tagged friendly entities.",substantial,"Inference: These sources appear intended to make healing consumable, difficulty-sensitive, and partly infrastructure-based. Confidence: medium.",mixed,high,high,high,,,x,,,"Override only through server-authoritative outcomes because several paths affect health, max health, inventory, and nearby entities.","Direct healing, regeneration, full health, absorption, difficulty, simultaneous players, creative mode, death, relog, vanilla healing control, absent and unsupported Matcha.","Evidence: generated/matcha/1.12/functions.json, recipes.json, scoreboards.json. Runtime amount, ordering, and health-screen behaviour remain unverified."
matcha.food_effects,food,"data/food/recipe/green_curry.json;data/food/recipe/ramen.json;data/food/recipe/bread.json;data/food/recipe/mead.json;data/main/advancement/cooking_recipes/chorus_mochi_recipe.json;assets/minecraft/items/green_curry.json;assets/minecraft/items/ramen.json","Static source: food recipes add crafting, smelting, and campfire outputs with food and consumable components. green_curry and ramen set nutrition and saturation to zero, allow eating at any time, apply regeneration plus speed or haste, and return a bowl. Many outputs assign minecraft:item_model and hide or add effect presentation components.",substantial,"Inference: The recipes appear intended to make prepared food a source of effects rather than only hunger restoration. Confidence: medium.",mixed,high,high,medium,,,x,,,"Preserve ordinary food and reject effect mapping when an exact item signature or supported profile is missing. Balance and effect stacking need a separate decision.","Effect duration and amplifier, stacking/replacement, unsafe ingredients, food preparation, relog, death, two players, vanilla food control, missing resource pack, and unsupported profile.","Evidence: generated/matcha/1.12/recipes.json, advancements.json, and assets.json. Source proves components, not the final player-facing consumption result."
matcha.death,survival,"data/main/function/setup/gamerules.mcfunction;data/main/function/setup/scoreboard.mcfunction;data/main/function/mechanic/heart_container/detect_death.mcfunction;data/main/function/mechanic/heart_container/hpdown.mcfunction;data/main/function/mechanic/heart_container/set_max_hp.mcfunction;data/main/advancement/mechanics/heart_container_obtained.json","Static source: keep_inventory is set true and ender pearls are configured not to vanish on death. A deaths objective is created. detect_death tags players with a deaths score, and hpdown resets the score and tag, subtracts two Hearts, and reapplies max health.",substantial,"Inference: The source appears intended to make death preserve inventory while imposing a heart-related penalty. Confidence: medium.",mixed,high,high,high,,,x,,,"The death rule crosses inventory, health, advancement, and player-state boundaries. It must not be enabled until disconnect and second-player observations prove atomic scope.","Ordinary death, keep-inventory setting, named/enhanted items, disconnect around death, respawn, second player observing, heart limits, vanilla control, absent and unsupported Matcha.","Evidence: generated/matcha/1.12/functions.json, scoreboards.json, and advancements.json. The comments state the author was concerned about multiplayer, but comments are not runtime evidence."
matcha.equipment,equipment,"data/smithing_table/recipe/bronze_chestplate.json;data/smithing_table/recipe/steel_chestplate.json;data/smithing_table/recipe/shakudo_elytra.json;assets/minecraft/equipment/bronze.json;assets/minecraft/equipment/electrum.json;assets/minecraft/equipment/shakudo.json;assets/minecraft/equipment/steel.json","Static source: smithing recipes return vanilla base IDs with max_damage, attribute_modifiers, equippable asset_id, item_model, and enchantments. bronze_chestplate returns copper_chestplate with armor and movement attributes; steel_chestplate returns iron_chestplate with armor, knockback resistance, and blast protection. The resource pack contains bronze, electrum, shakudo, steel, and elytra equipment assets.",partial,"Inference: The equipment definitions appear intended to add material sets and set bonuses around vanilla slots. Confidence: medium.",mixed,high,high,medium,,x,,,,"Extend only after exact identity, slot, death, trade, and container behaviour is stable. Forever equipment persistence must own durable state rather than Matcha components.","All armour and off-hand slots, swapping, death, containers, trades, missing model, vanilla equipment, absent and unsupported profile tests.","Evidence: generated/matcha/1.12/recipes.json, assets.json, registry-data.json. No runtime equipping or attribute trace was supplied."
matcha.durability,equipment,"data/endless_repairs/README.txt;data/endless_repairs/advancement/inventory_changed.json;data/endless_repairs/function/reset_breakable_repair_cost.mcfunction;data/crafting/recipe/copper_pickaxe.json;data/smithing_table/recipe/steel_dolabra.json;data/smithing_table/recipe/adamant_mattock.json","Static source: inventory_changed rewards reset_breakable_repair_cost. That function checks inventory slots and hotbar slots for minecraft:repair_cost, sets each observed repair_cost to zero, and revokes its advancement. Tool recipes assign max_damage and repairable components. No Matcha function intercepts an item reaching zero damage.",partial,"Inference: The namespace appears intended to remove the increasing anvil repair-cost barrier, but the archive does not establish a retained broken-item transition. Confidence: high for the observed commands, medium for purpose.",mixed,high,high,high,,,x,,,"This is the clearest FVR-101 interaction. Resetting repair_cost can synergise with retained broken items, but it does not itself prevent destruction and may bypass Forever repair-cost policy. Keep it disabled until FVR-101 identifies the break seam and an explicit precedence rule.","Damage at one and zero, repair through every route, enchantment interaction, container/trade movement, item preservation, FVR-101 regression, vanilla item control, Matcha absent, and unsupported profile.","Evidence: generated/matcha/1.12/functions.json and advancements.json. Flag for FVR-101 owner: preserve the original item on failed mapping and never assume repair_cost reset equals endless durability."
matcha.enchanting,enchanting,"data/minecraft/tags/enchantment/in_enchanting_table.json;data/blessings/recipe/mending.json;data/blessings/recipe/warding.json;data/main/enchantment/traversal.json;data/main/enchantment/warding1.json;data/main/function/enchantment_effects/warding_armour.mcfunction","Static source: 23 blessings recipes produce enchanted_book results with stored_enchantments and profile-specific item_model components. in_enchanting_table.json has replace true and contains #minecraft:curse. Registry enchantment data invokes effect functions, including traversal and warding, and warding_armour counts armour signatures before calling effect functions.",substantial,"Inference: The sources appear intended to move enchantment acquisition into crafted blessings and attach active effects to equipment. Confidence: medium.",restricted,high,high,medium,,,x,,,"The replace tag can alter the enchanting table globally. Keep ordinary enchanting available unless a specific audited override is accepted and ensure unknown enchantments stay vanilla-safe.","Ordinary table and anvil, disguised and vanilla items, incompatible combinations, stored enchantments, repair/reforge preservation, absent Matcha, and alternate resource-pack tests.","Evidence: generated/matcha/1.12/registry-data.json, recipes.json, functions.json, and tags.json. Runtime enchanting-table contents and effect ordering were not tested."
matcha.xp,progression,"data/main/function/setup/scoreboard.mcfunction;data/main/function/mechanic/anvil_xp/check_anvil_interaction.mcfunction;data/main/function/mechanic/anvil_xp/set_xp.mcfunction;data/main/function/mechanic/anvil_xp/remove_xp.mcfunction","Static source: anvil_interaction uses the vanilla custom interaction criterion. A positive interaction calls set_xp, which tags the player and sets them to 100 levels. remove_xp sets levels and points to zero for players without ExcludeFromXPRemoval, then removes that tag after the xp_timer window.",substantial,"Inference: The source appears intended to prevent anvil interactions from being bypassed by ordinary XP retention, but it also changes every player's XP according to a global tick path. Confidence: medium.",restricted,high,high,high,,,x,,,"Override is required because the observed commands can erase vanilla XP and conflict with any future Forever progression. Never let an unverified event consume or reset XP.","Small and large XP awards, level boundaries, anvil interaction, relog, death, two players, vanilla XP source, timer/restart, absent and unsupported Matcha.","Evidence: generated/matcha/1.12/functions.json and scoreboards.json. Exact stopwatch semantics and selector scope need a disposable-server trace."
matcha.spawners,mobs,"data/main/function/mechanic/spawn_mechanic/ticking.mcfunction;data/main/function/mechanic/spawn_mechanic/check_mob_spawn.mcfunction;data/main/function/mechanic/spawn_mechanic/modify_mob.mcfunction;data/main/function/mechanic/spawn_mechanic/safe_surface.mcfunction;data/main/tags/entity_type/mundane_hostiles.json","Static source: spawn_mechanic scans mundane_hostiles without SpawnChecked. In the overworld, creepers on surface_spawn and non-undead sky_spawn entities receive SpawnForbidden and are teleported down 10000. Remaining entities receive difficulty-specific modifications. No source path or command specifically targets a vanilla spawner block.",partial,"Inference: The generic spawn path appears intended to reshape hostile spawning and difficulty rather than implement a separate spawner rule. Confidence: medium.",mixed,high,medium,high,x,,,,,"Keep vanilla spawner semantics provisionally because no spawner-specific replacement was observed, but do not assume generic entity scanning is harmless.","Vanilla spawner activation and drops; multiple players; moved spawner; chunk unload; difficulty changes; peaceful; Matcha absent and unsupported profile; generic spawn control.","Evidence: generated/matcha/1.12/functions.json and tags.json. Classification is provisional because no runtime spawner control was supplied."
