asset_id,category,system,pivot_review
block_settlement_charter_or_notice_board,block,settlements,PACK_OWNED
block_shop_project_ledger,block,shops_and_projects,PACK_OWNED
forever_missing_asset,item,asset_pipeline,PACK_OWNED
item_coin_purse,item,economy,PACK_OWNED
item_field_guide,item,tutorialization,PACK_OWNED
item_settlement_charter,item,settlements,PACK_OWNED
item_shipping_manifest,item,logistics,PACK_OWNED
item_surveyors_tool_or_deed,item,surveying,PACK_OWNED
item_technique_plan_scroll,item,techniques,PACK_OWNED
overlay_villager_states,overlay,villagers,PACK_OWNED
sound_contract_stamp,sound,settlements,PACK_OWNED
sound_discovery,sound,projects_and_discoveries,PACK_OWNED
sound_migrant_arrival,sound,villagers,PACK_OWNED
sound_project_completion,sound,projects_and_discoveries,PACK_OWNED
sound_sale,sound,economy,PACK_OWNED
sound_shipment_arrival,sound,logistics,PACK_OWNED
ui_icon_building_types,ui_icon,settlements,PACK_OWNED
ui_icon_housing_jobs_food_safety_connectivity_storage,ui_icon,settlements,PACK_OWNED
ui_icon_obols_and_stock,ui_icon,economy,PACK_OWNED
ui_icon_orders_and_shipments,ui_icon,logistics,PACK_OWNED
ui_icon_professions,ui_icon,villagers,PACK_OWNED
ui_icon_projects_discoveries,ui_icon,projects_and_discoveries,PACK_OWNED
ui_icon_regions,ui_icon,regions,PACK_OWNED
ui_icon_techniques,ui_icon,techniques,PACK_OWNED
overlay_tool_states,overlay,equipment,RESOLVED_BY_LAB
sound_item_breaking,sound,equipment,RESOLVED_BY_LAB
sound_mastery_unlock,sound,mastery,RESOLVED_BY_LAB
sound_repair_reforge,sound,equipment,RESOLVED_BY_LAB
ui_icon_item_wear_repair,ui_icon,equipment,RESOLVED_BY_LAB
ui_icon_masteries,ui_icon,mastery,RESOLVED_BY_LAB
ui_icon_perks,ui_icon,mastery,RESOLVED_BY_LAB
ui_icon_professional_ranks,ui_icon,villagers,RESOLVED_BY_LAB
block_construction_depot,block,construction,THIRD_PARTY_ART
block_freight_depot_or_receiving_crate,block,logistics,THIRD_PARTY_ART
block_route_marker,block,transport,THIRD_PARTY_ART
block_warehouse_controller_terminal,block,storage,THIRD_PARTY_ART
item_builders_toolkit_optional,item,construction,THIRD_PARTY_ART
item_travelers_cache,item,logistics,THIRD_PARTY_ART
sound_journal_page,sound,tutorialization,THIRD_PARTY_ART
ui_icon_food_traits,ui_icon,food,THIRD_PARTY_ART
ui_icon_seasons_weather,ui_icon,climate,THIRD_PARTY_ART
ui_icon_transport_modes,ui_icon,transport,THIRD_PARTY_ART
